
---------- Begin Simulation Statistics ----------
simSeconds                                   0.106000                       # Number of seconds simulated (Second)
simTicks                                 105999974000                       # Number of ticks simulated (Tick)
finalTick                                105999974000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    400.59                       # Real time elapsed on the host (Second)
hostTickRate                                264608800                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     648044                       # Number of bytes of host memory used (Byte)
simInsts                                     47750794                       # Number of instructions simulated (Count)
simOps                                       80966339                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119201                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202117                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        105999975                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.219858                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.450479                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       111855361                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2128858                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95957233                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 244233                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             33017874                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          81572046                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1193530                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           105963989                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.905565                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.559169                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  68638855     64.78%     64.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11848442     11.18%     75.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11642845     10.99%     86.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3801350      3.59%     90.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3217684      3.04%     93.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5357502      5.06%     98.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    819779      0.77%     99.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    258125      0.24%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    379407      0.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             105963989                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  211302     34.07%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     67      0.01%     34.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     34.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     78      0.01%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     34.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     34.09% # attempts to use FU when none available (Count)
