
---------- Begin Simulation Statistics ----------
simSeconds                                   0.085604                       # Number of seconds simulated (Second)
simTicks                                  85604486000                       # Number of ticks simulated (Tick)
finalTick                                 85604486000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    442.37                       # Real time elapsed on the host (Second)
hostTickRate                                193512215                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     644812                       # Number of bytes of host memory used (Byte)
simInsts                                     54704001                       # Number of instructions simulated (Count)
simOps                                       93279431                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   123660                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210862                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         85604487                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.564867                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.639032                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       132066813                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2181743                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      111477923                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 247902                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             40969119                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          99930106                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1224071                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            85549947                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.303074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.767556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  43396569     50.73%     50.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12974687     15.17%     65.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12388680     14.48%     80.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5519942      6.45%     86.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2950324      3.45%     90.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5999963      7.01%     97.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1282144      1.50%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    629029      0.74%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    408609      0.48%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              85549947                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  119619     33.54%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     33.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     33.54% # attempts to use FU when none available (Count)
