
---------- Begin Simulation Statistics ----------
simSeconds                                   0.040796                       # Number of seconds simulated (Second)
simTicks                                  40795527000                       # Number of ticks simulated (Tick)
finalTick                                 40795527000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    274.94                       # Real time elapsed on the host (Second)
hostTickRate                                148381460                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     650344                       # Number of bytes of host memory used (Byte)
simInsts                                     18997056                       # Number of instructions simulated (Count)
simOps                                       32651240                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    69096                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     118759                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         40795652                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.147472                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.465664                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        43758459                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   429367                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40917055                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    256                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11536580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17134559                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              110095                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40681387                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.005793                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.551746                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23124043     56.84%     56.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7453198     18.32%     75.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4313990     10.60%     85.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1959355      4.82%     90.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1332082      3.27%     93.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1570085      3.86%     97.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    760129      1.87%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    129755      0.32%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     38750      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40681387                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  498057     98.63%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.63% # attempts to use FU when none available (Count)
